index,iso3_o,iso3_d,tradeflow,year,gdp_o,gdp_d,dist,tradevalue
1817,BGD,GBR,1,2008,91631280.128,2791855095.808,8017.0,161330.918312566
1818,BGD,GBR,1,2009,102477791.232,2308925816.832,8017.0,180320.113735668
1819,BGD,GBR,1,2010,115279077.376,2407933673.472,8017.0,245198.21653861634
1820,BGD,GBR,1,2011,128637935.616,2591846039.552,8017.0,275651.08635811624
1821,BGD,GBR,1,2012,133355741.184,2614946430.976,8017.0,279705.34258472966
1822,BGD,GBR,1,2013,149990457.344,2678455009.28,8017.0,237829.58607772738
1823,BGD,GBR,1,2015,195078553.6,2861090734.08,8017.0,287304.80108848086
1824,BGD,GBR,2,1998,44091752.448,1529138774.016,8017.0,369060.70118916035
1825,BGD,GBR,2,2000,47124926.464,1548663914.496,8017.0,454526.9532042812
1826,BGD,GBR,2,2001,46987841.536,1529094602.752,8017.0,497862.9953624401
1827,BGD,GBR,2,2002,47571128.32,1674417012.736,8017.0,549218.9438794701
1828,BGD,GBR,2,2003,51913662.464,1943714267.136,8017.0,713511.0745026236
1829,BGD,GBR,2,2004,56560742.4,2298127056.896,8017.0,947316.7991566546
1830,BGD,GBR,2,2005,60277559.296,2412116443.136,8017.0,946504.2684834227
1831,BGD,GBR,2,2006,71819091.968,2582815965.184,8017.0,1050581.7807899301
1832,BGD,GBR,2,2007,79611887.616,2963265290.24,8017.0,1253497.0828510174
1833,BGD,GBR,2,2008,91631280.128,2791855095.808,8017.0,1332145.0217179153
1834,BGD,GBR,2,2009,102477791.232,2308925816.832,8017.0,1483686.9770209542
1835,BGD,GBR,2,2010,115279077.376,2407933673.472,8017.0,1707024.8679770876
1836,BGD,GBR,2,2011,128637935.616,2591846039.552,8017.0,2306383.4412299786
1837,BGD,GBR,2,2012,133355741.184,2614946430.976,8017.0,2522952.9872606965
1838,BGD,GBR,2,2013,149990457.344,2678455009.28,8017.0,2431278.2470050068
1839,BGD,GBR,2,2015,195078553.6,2861090734.08,8017.0,3499822.07678245
2335,BGD,IND,1,1998,44091752.448,428741033.984,1887.0,1040681.7501348853
2336,BGD,IND,1,2000,47124926.464,476609150.976,1887.0,614541.1235696137
2337,BGD,IND,1,2001,46987841.536,493954334.72,1887.0,889586.5539618918
2338,BGD,IND,1,2002,47571128.32,523968577.536,1887.0,1190317.83926063
2339,BGD,IND,1,2003,51913662.464,618356473.8560001,1887.0,1437876.018789326
2340,BGD,IND,1,2004,56560742.4,721585635.3280001,1887.0,1278711.5550779358
2341,BGD,IND,1,2005,60277559.296,834215018.496,1427.0,1372036.2171890119
2342,BGD,IND,1,2006,71819091.968,949116796.928,1427.0,1875666.0535941878
2343,BGD,IND,1,2007,79611887.616,1238700130.304,1427.0,2328935.370216725
2344,BGD,IND,1,2008,91631280.128,1224097005.568,1427.0,3158642.083062751
2345,BGD,IND,1,2009,102477791.232,1365372436.48,1427.0,2352322.2962303497
2346,BGD,IND,1,2010,115279077.376,1708458901.504,1427.0,3520724.7513180603
2347,BGD,IND,1,2011,128637935.616,1880100175.872,1427.0,4630335.513627625
2348,BGD,IND,1,2012,133355741.184,1858744745.984,1427.0,4121933.3708103844
2349,BGD,IND,1,2013,149990457.344,1876797161.472,1427.0,3917826.7279165103
2350,BGD,IND,1,2015,195078553.6,2111751061.504,1427.0,5881170.217271821
2351,BGD,IND,2,1998,44091752.448,428741033.984,1887.0,10286.255123972893
2352,BGD,IND,2,2000,47124926.464,476609150.976,1887.0,24789.490948483348
2353,BGD,IND,2,2001,46987841.536,493954334.72,1887.0,16436.8772891555
2354,BGD,IND,2,2002,47571128.32,523968577.536,1887.0,25215.197757456914
2355,BGD,IND,2,2003,51913662.464,618356473.8560001,1887.0,40763.970423899475
2356,BGD,IND,2,2004,56560742.4,721585635.3280001,1887.0,105203.98353517987
2357,BGD,IND,2,2005,60277559.296,834215018.496,1427.0,177730.9043055703
2358,BGD,IND,2,2006,71819091.968,949116796.928,1427.0,257883.95189646445
2359,BGD,IND,2,2007,79611887.616,1238700130.304,1427.0,523675.80461015576
2360,BGD,IND,2,2008,91631280.128,1224097005.568,1427.0,273188.3527160045
2361,BGD,IND,2,2009,102477791.232,1365372436.48,1427.0,269958.3523015075
2362,BGD,IND,2,2010,115279077.376,1708458901.504,1427.0,319381.105207989
2363,BGD,IND,2,2011,128637935.616,1880100175.872,1427.0,470533.6862273048
2364,BGD,IND,2,2012,133355741.184,1858744745.984,1427.0,436857.1517485701
2365,BGD,IND,2,2013,149990457.344,1876797161.472,1427.0,383123.3490914819
2366,BGD,IND,2,2015,195078553.6,2111751061.504,1427.0,517812.84946948045
2533,BGD,ITA,1,1998,44091752.448,1266790432.768,7321.0,73260.68973177671
2534,BGD,ITA,1,2000,47124926.464,1142213967.872,7321.0,69277.95268233854
2535,BGD,ITA,1,2001,46987841.536,1162784800.768,7321.0,119013.02896776493
2536,BGD,ITA,1,2002,47571128.32,1267043139.584,7321.0,95119.28297226143
2537,BGD,ITA,1,2003,51913662.464,1570330640.384,7321.0,110733.53110608693
